codice_istat;anno;abitanti
002004;2020;2537
001005;2019;707
061002;2019;7442
061002;2020;7438
082002;2019;1908
082002;2020;1909
082003;2019;1152
082003;2020;1129
095005;2019;359
095005;2020;350
025003;2019;1195
025003;2020;1168
007001;2019;213
007001;2020;210
055002;2019;1764
055002;2020;1724
075004;2019;6606
075004;2020;6533
058004;2019;3969
058004;2020;3879
006192;2019;1727
006192;2020;1682
016005;2019;5526
016005;2020;5533
016006;2019;6291
016006;2020;6353
016007;2019;5704
016007;2020;5660
001006;2019;6406
001006;2020;6426
024003;2019;1624
024003;2020;1594
025072;2019;6856
025072;2020;6791
001007;2019;246
001007;2020;248
001008;2019;16991
001008;2020;16945
033002;2019;4666
033002;2020;4662
013006;2019;1263
013006;2020;1286
033049;2019;3005
033049;2020;2964
013253;2019;2920
013253;2020;2895
072004;2019;70008
072004;2020;69999
009005;2019;2000
009005;2020;1994
022235;2019;1615
022235;2020;1611
064002;2019;4105
064002;2020;4092
082004;2019;8342
082004;2020;8305
006007;2019;429
006007;2020;423
065005;2019;7024
065005;2020;6996
024004;2019;11960
024004;2020;11886
109001;2019;3459
109001;2020;3497
078008;2019;693
078008;2020;680
069001;2019;3100
069001;2020;3093
024005;2019;2210
024005;2020;2148
026001;2019;6970
026001;2020;6996
004005;2019;129
004005;2020;137
037062;2019;6920
037062;2020;6953
002170;2019;157
002170;2020;151
082005;2019;9969
082005;2020;9884
078009;2019;4244
078009;2020;4204
046001;2019;15517
046001;2020;15575
022236;2019;5117
022236;2020;5124
055003;2019;1444
055003;2020;1433
061003;2019;4692
061003;2020;4698
060004;2019;2606
060004;2020;2558
016008;2019;13499
016008;2020;13532
006008;2019;349
006008;2020;363
013007;2019;4902
013007;2020;4847
065006;2019;4947
065006;2020;4901
109002;2019;3485
109002;2020;3443
078010;2019;13956
078010;2020;13941
030002;2019;862
030002;2020;850
079003;2019;1770
079003;2020;1743
060005;2019;4278
060005;2020;4252
079004;2019;797
079004;2020;784
057002;2019;2423
057002;2020;2358
016009;2019;2362
016009;2020;2379
022237;2019;530
022237;2020;543
011001;2019;4318
011001;2020;4335
055004;2019;11499
055004;2020;11482
078011;2019;2886
078011;2020;2785
003002;2019;951
003002;2020;953
062002;2019;2730
062002;2020;2709
030003;2019;974
030003;2020;962
063004;2019;6939
063004;2020;6960
060006;2019;21187
060006;2020;21071
067002;2019;1874
067002;2020;1843
042002;2019;99307
042002;2020;99077
079005;2019;689
079005;2020;688
022005;2019;1104
022005;2020;1129
014003;2019;562
014003;2020;587
001009;2019;2004
001009;2020;2041
009006;2019;7329
009006;2020;7327
096002;2019;3127
096002;2020;3065
075005;2019;4731
075005;2020;4666
001010;2019;497
001010;2020;492
093001;2019;253
093001;2020;247
064003;2019;1801
064003;2020;1763
110001;2019;98712
110001;2020;98414
021002;2019;1032
021002;2020;1042
090004;2019;620
090004;2020;609
017005;2019;482
017005;2020;464
012003;2019;5417
012003;2020;5428
051001;2019;5525
051001;2020;5484
023003;2019;2278
023003;2020;2316
017006;2019;2353
017006;2020;2343
065007;2019;33901
065007;2020;33902
001011;2019;862
001011;2020;846
058005;2019;19095
058005;2020;19112
028004;2019;4301
028004;2020;4248
019003;2019;2019
019003;2020;1992
097003;2019;2298
097003;2020;2306
027001;2019;3828
027001;2020;3814
080003;2019;2128
080003;2020;2092
016010;2019;3235
016010;2020;3209
021003;2019;404
021003;2020;400
007002;2019;584
007002;2020;565
058006;2019;844
058006;2020;841
005003;2019;970
005003;2020;965
083004;2019;866
083004;2020;857
080004;2019;1280
080004;2020;1256
057003;2019;2452
057003;2020;2421
103001;2019;419
103001;2020;406
066004;2019;307
066004;2020;323
013009;2019;1809
013009;2020;1824
071003;2019;1196
071003;2020;1169
076004;2019;1615
076004;2020;1594
058007;2019;51666
058007;2020;52335
037001;2019;12317
037001;2020;12370
103002;2019;408
103002;2020;407
007003;2019;34169
007003;2020;33916
041002;2019;1801
041002;2020;1784
062003;2019;5538
062003;2020;5504
043002;2019;2199
043002;2020;2129
062004;2019;2640
062004;2020;2557
013010;2019;7709
013010;2020;7689
021004;2019;14796
021004;2020;14889
043003;2019;4147
043003;2020;4119
044005;2019;1728
044005;2020;1711
014004;2019;1546
014004;2020;1543
008002;2019;588
008002;2020;590
071004;2019;12883
071004;2020;12812
078012;2019;2675
078012;2020;2591
059001;2019;72528
059001;2020;72859
065008;2019;1430
065008;2020;1414
008003;2019;158
008003;2020;155
030004;2019;3287
030004;2020;3228
064004;2019;1631
064004;2020;1576
060007;2019;5124
060007;2020;5062
075006;2019;9138
075006;2020;9087
084003;2019;9319
084003;2020;9151
005004;2019;562
005004;2020;564
093002;2019;1297
093002;2020;1312
095006;2019;3888
095006;2020;3849
002006;2019;861
002006;2020;862
111001;2019;6102
111001;2020;6004
026002;2019;4521
026002;2020;4522
060008;2019;5570
060008;2020;5492
016011;2019;4815
016011;2020;4817
042003;2019;4448
042003;2020;4363
069002;2019;2104
069002;2020;2098
053001;2019;4238
053001;2020;4269
058008;2019;1307
058008;2020;1277
012004;2019;9937
012004;2020;9948
022006;2019;17819
022006;2020;17933
011002;2019;10308
011002;2020;10254
023004;2019;6303
023004;2020;6307
015007;2019;6614
015007;2020;6649
108004;2019;17829
108004;2020;17876
024006;2019;7752
024006;2020;7747
090005;2019;766
090005;2020;756
095007;2019;847
095007;2020;829
058117;2019;48450
058117;2020;48715
014005;2019;3253
014005;2020;3251
016012;2019;3461
016012;2020;3436
080005;2019;4900
080005;2020;4881
102002;2019;1397
102002;2020;1318
018005;2019;1538
018005;2020;1548
010001;2019;11350
010001;2020;11248
015009;2019;19190
015009;2020;19295
051002;2019;98483
051002;2020;98259
013011;2019;653
013011;2020;672
037002;2019;9853
037002;2020;9764
038001;2019;21006
038001;2020;20949
004006;2019;72
004006;2020;74
004007;2019;196
004007;2020;196
079007;2019;489
079007;2020;477
069003;2019;1104
069003;2020;1092
